tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,PaperlessBilling_Yes,Churn_Yes,senior_citizen_Yes,internet_service_Yes,multiple_lines,DSL,Fiber optic,Month-to-month,One year,Two year,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check
52,0,0,0,0,0,0,0,1022.95,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
71,1,0,1,0,1,1,2,7382.25,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0
10,0,0,1,1,0,0,1,528.35,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
21,0,1,1,0,0,1,2,1862.9,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,1,1,39.65,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
12,0,0,0,0,0,0,0,202.25,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,20.15,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
58,0,1,0,1,0,0,1,3505.1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
49,1,1,0,1,0,0,1,2970.3,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
30,1,1,0,0,0,0,1,1530.6,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
47,0,1,0,0,1,1,2,4749.15,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
1,0,1,0,0,0,0,0,30.2,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
72,1,1,1,1,1,1,2,6369.45,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
17,0,0,0,0,1,1,1,1093.1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1
71,1,1,1,1,0,0,2,6766.95,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0
2,0,0,1,0,1,1,2,181.65,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0
27,1,1,1,1,0,0,2,1874.45,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,20.2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,45.25,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
72,1,1,0,1,1,0,2,7251.7,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0
5,0,0,0,0,0,0,2,316.9,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
46,0,0,1,0,0,0,2,3548.3,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
34,0,1,1,0,1,1,2,3549.25,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
11,0,0,1,0,1,1,2,1105.4,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0
10,0,1,0,0,0,0,1,475.7,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
70,1,1,0,0,1,0,2,4872.35,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
17,0,0,0,0,0,0,0,418.25,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
63,1,1,1,1,1,0,2,4861.45,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
13,1,1,0,1,1,0,2,981.45,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0
49,0,0,0,0,0,1,2,3906.7,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
2,0,1,0,0,0,0,1,97.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
2,0,0,0,0,1,0,2,144.15,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
52,1,0,0,1,1,1,2,4217.8,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
69,1,0,1,1,0,0,1,4254.1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
43,0,1,0,0,1,0,2,3838.75,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0
15,1,1,0,0,1,1,2,1426.4,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0
25,1,0,0,1,1,0,2,1752.65,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0
8,0,1,0,0,0,0,2,633.3,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0
60,1,1,1,1,0,1,2,4456.35,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0
18,0,0,0,0,1,1,2,1752.55,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
63,1,0,0,0,1,1,2,6311.2,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0
66,0,1,1,1,1,1,2,7076.35,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0
34,0,0,0,0,0,0,0,894.3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
72,0,0,1,1,1,1,2,7853.7,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0
47,0,0,1,0,1,1,2,4707.1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
60,0,1,0,0,1,0,2,5450.7,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
72,1,1,1,0,0,0,1,2962.0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
18,0,0,1,1,0,0,1,957.1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0
9,0,0,0,0,1,1,2,857.25,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0
3,0,1,0,1,1,1,2,244.1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0
47,0,1,0,0,0,0,2,3650.35,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0
31,0,1,1,1,1,1,2,2497.2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
50,0,0,0,0,0,0,0,930.9,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10,1,0,1,0,0,0,2,887.35,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1
1,0,0,0,1,0,0,1,49.05,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
52,0,0,0,0,0,0,0,1090.65,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
64,1,0,1,1,1,1,2,7099.0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0
62,0,0,0,0,0,0,0,1424.6,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
3,1,0,0,1,0,1,1,177.4,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
56,1,1,1,0,1,1,2,6139.5,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0
46,0,0,0,0,0,1,1,2688.85,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
8,1,1,0,0,0,0,1,482.25,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
30,1,1,0,0,1,1,2,2111.3,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0
45,0,0,0,0,0,0,0,1216.6,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,2,79.35,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
11,1,0,0,0,1,1,1,565.35,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
7,0,0,1,0,0,0,2,496.9,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0
42,0,1,1,1,1,1,2,4327.5,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0
49,0,0,0,0,0,0,0,973.35,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
9,0,1,0,0,1,1,2,918.75,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0
35,1,0,0,0,1,0,1,2215.45,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0
48,0,0,0,0,0,0,0,1057.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
46,0,0,0,0,0,0,0,927.1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,0,0,0,1,0,1,1009.25,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
30,0,1,1,0,0,0,2,2570.2,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1,0,0,0,1,0,0,2,74.7,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
66,1,0,1,1,1,1,2,5714.25,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1
65,1,1,1,0,1,1,2,7107.0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0
72,0,1,1,0,1,1,2,7459.05,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0
12,1,0,0,0,0,0,2,927.35,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
71,1,1,0,1,0,0,2,4748.7,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0
5,0,0,0,0,0,0,0,113.85,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
52,0,0,0,0,0,0,0,1107.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
25,0,1,1,0,1,1,2,2514.5,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,20.2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,19.45,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
38,0,0,1,1,1,0,2,3605.6,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0
66,0,1,1,0,1,0,1,3027.25,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
68,0,1,1,1,1,1,2,7611.85,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
5,0,0,0,0,0,0,0,100.2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
72,1,1,0,0,1,1,2,7303.05,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0
32,1,0,0,0,0,0,0,927.65,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
43,0,0,0,0,1,1,2,3921.3,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
72,0,0,0,0,0,0,0,1363.25,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
55,1,1,0,0,1,0,2,5238.9,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
52,1,0,1,1,0,0,1,3042.25,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
43,0,1,1,0,1,0,2,3954.1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
37,0,0,0,0,0,0,2,2868.15,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
64,0,1,0,1,1,1,1,3423.5,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
3,1,1,0,0,1,0,2,248.4,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
36,1,0,0,0,0,0,1,1126.35,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
10,1,0,0,0,1,1,2,1064.65,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
41,0,0,0,0,0,0,0,835.15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
27,0,1,0,1,0,0,2,2151.6,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0
56,0,0,1,0,1,1,2,5515.45,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0
6,0,0,0,0,0,0,0,112.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,0,0,0,0,0,0,2,229.55,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
7,1,0,0,0,0,0,1,350.35,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
4,0,0,0,0,0,0,0,62.9,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
33,1,0,0,1,1,0,2,3027.65,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
27,0,0,1,0,0,0,2,2135.5,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
72,0,0,0,0,0,0,0,1723.95,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,19.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
71,1,1,0,0,1,1,1,3985.35,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
13,0,0,0,0,0,1,2,1215.65,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
25,1,1,1,0,1,1,1,1502.65,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0
67,0,0,0,1,0,0,1,3260.1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,1,1,35.45,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
2,0,0,0,0,0,0,1,81.25,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
43,0,0,0,0,0,0,0,1188.2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
23,1,0,0,0,0,0,2,1778.5,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0
64,0,0,0,0,0,0,0,1277.75,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
57,0,0,0,0,0,0,0,1170.55,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,2,70.45,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
72,1,1,1,1,1,1,2,6425.65,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0
8,1,0,0,1,0,1,2,563.65,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0
61,0,1,0,0,1,1,2,5971.25,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0
64,1,1,0,0,0,0,2,5289.05,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0
71,0,0,0,0,0,0,0,1756.2,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
65,1,1,0,1,1,0,2,6416.7,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0
3,0,0,0,0,0,0,0,61.35,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1,45.65,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0
30,0,1,1,0,1,0,1,1929.95,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
15,0,1,1,1,0,1,2,1071.4,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
8,0,0,0,1,1,1,2,564.35,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0
7,0,0,0,0,1,1,2,655.5,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1
70,1,1,1,0,1,1,2,7930.55,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0
62,1,1,1,1,1,1,2,5215.25,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
6,0,0,0,0,0,0,0,113.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14,0,0,0,0,0,1,2,1152.8,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0
22,0,0,0,0,1,0,2,1821.95,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
22,0,0,0,0,0,0,0,419.9,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16,1,0,1,0,1,0,1,1024.0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
10,0,0,0,0,0,0,0,251.6,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
13,1,1,0,0,0,0,1,764.55,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0
20,1,0,0,0,0,0,2,1592.35,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0
2,0,0,0,0,0,0,2,135.2,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
53,0,1,1,1,0,1,2,3958.25,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
11,0,0,0,0,0,0,0,233.9,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
69,0,0,0,0,0,0,0,1363.45,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,2,273.0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0
72,1,1,1,1,1,1,2,6254.45,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
58,0,1,1,0,0,1,1,2651.2,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
16,0,0,0,0,0,0,0,321.4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
43,1,0,1,1,0,0,2,3539.25,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
2,0,0,1,1,1,1,2,242.8,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
14,0,1,1,1,1,1,2,1181.75,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
53,0,0,1,0,1,1,2,5000.2,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0
32,0,0,0,0,0,0,0,654.55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
34,0,0,0,0,0,0,0,780.2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
15,0,0,0,0,0,0,2,1145.7,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
7,1,0,0,0,0,0,2,503.6,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0
15,0,1,1,0,1,1,2,1559.25,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
61,0,0,0,0,0,0,0,1252.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,29.95,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,45.3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
8,0,0,0,0,0,1,2,662.65,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0
33,1,0,1,0,1,1,2,2453.3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
13,0,1,1,0,0,0,2,1111.65,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,24.8,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
20,0,1,0,0,0,0,1,1023.85,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
3,0,0,0,1,0,0,0,82.15,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
13,0,0,0,0,0,0,0,244.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,0,1,0,0,0,0,1,2379.1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
43,1,0,0,1,0,1,2,3173.35,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0
6,0,1,1,0,0,1,2,531.0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
69,0,0,0,0,0,0,0,1375.4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
72,1,1,1,0,1,1,2,8129.3,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0
59,0,0,0,0,0,0,0,1192.7,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20,1,1,0,1,1,0,2,1901.65,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
24,0,0,0,0,0,0,0,587.4,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
59,0,1,1,1,1,1,2,6519.75,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
72,0,1,1,1,1,1,2,8041.65,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,20.75,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27,1,0,0,1,1,1,2,2681.15,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
14,0,1,0,1,0,0,2,1112.3,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
71,1,0,1,0,1,1,2,7405.5,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
13,0,0,0,0,1,0,2,1033.95,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
44,0,0,0,0,0,0,2,2958.95,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
33,0,1,0,1,0,0,2,2684.85,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
72,1,1,1,1,0,1,1,4179.2,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
1,0,0,0,0,0,1,2,79.9,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
19,1,0,1,1,1,1,2,1934.45,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
64,0,1,1,1,1,1,2,6654.1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
2,0,0,0,0,0,0,1,84.5,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,25.25,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
61,0,0,0,0,0,0,0,1124.2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,0,0,0,0,0,0,540.05,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,0,0,0,0,0,1,2,1975.85,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0
57,1,1,1,0,1,1,1,3437.45,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
72,1,1,1,1,0,0,1,3139.8,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
66,1,1,1,1,1,0,1,3789.2,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
65,0,1,1,1,1,1,2,5324.5,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
8,0,0,0,0,1,0,2,624.6,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0
4,0,0,0,0,0,0,2,268.35,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
71,0,0,0,0,0,0,0,1836.9,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,20.2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,0,0,0,1,0,0,1,179.35,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
12,0,0,0,0,0,0,0,219.35,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
24,1,0,0,0,1,1,1,1288.75,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
31,1,0,1,1,1,1,2,2545.75,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,1,55.2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
30,0,0,0,1,0,1,2,2723.15,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0
47,1,1,0,1,1,1,2,4107.25,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0
54,1,1,0,1,1,1,2,5760.65,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0
50,1,1,0,1,0,1,2,4747.5,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
1,1,0,0,0,0,1,2,84.6,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1
72,0,0,0,0,0,0,0,1566.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29,0,0,0,0,0,0,0,702.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2,0,1,0,0,0,0,1,114.1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1
10,0,0,0,1,0,0,0,299.05,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
18,0,0,0,0,0,0,2,1305.95,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
11,0,1,0,0,1,1,2,1120.3,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
16,0,0,0,0,0,0,0,284.35,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
